SeriesNumber,Filename,Name,Description,Gender,Attributes,UUID,Hash
83,tayo-tailor,tayo tailor,"a professional fashion designer, in quote",male,"Hair: Black, Eyes: Black, Teeth: None, Clothing: Orange Shirt, Accessories: glasses, Expression: Inquisitive, Strength: Creativity, Weakness: Opinionated",70828783-ac38-48cf-b966-cfebc92ebd86,c8a1cfd16dd221b1ac8838712169d66e341b9c5e75bdbd0f65a1ca9ff9577b3d
84,ajasco-comedian,ajasco comedian,he thinks he's funny but he's not,male,"Hair: Black, Eyes: Black, Teeth: None, Clothing: Green Shirt, Accessories: glasses, Expression: Bold, Strength: Optimistic, Weakness: Unobservant",8bebdb3a-f0a8-47ba-892f-39aa275fbd0d,b3641c16bc8befd881d53c7f14d0a48ef538e83620b6ea5207fe8b5929f11627
85,tobi-babyboy,tobi babyboy,he's currently in his babyboy era,male,"Hair: Black, Eyes: Black, Teeth: None, Clothing: White Shirt, Accessories:glasses, Expression: Friendly, Strength: Outgoing, Weakness: Lacks boundaries. ",3da592d4-5dec-4bc5-8412-f1b2a0269f95,44b553daee554db5ad7a8027a00a7427fbfff6dcaf466f91602bcab5ebe3232e
86,esther-sassy,esther sassy,her motto is everybody must collect,female,"Hair: Brown, Eyes: Grey, Teeth:None, Clothing: Animal Print, Accessories: Necklace and Earrings, Expression: Bold, Strength: Confident, Weakness: Judgemental",0642a25a-966d-446f-b021-a6d18e7fa0c5,a65748865fb0f572a6f38ee07f89f2684c8d097e079e95d1df9fe05c1be9855c
87,ozo-fineboi,ozo fineboi,she's currently in her babyboy era,female,"Hair: Brown, Eyes: Blue, Teeth: None, Clothing: Aztec print blouse,  Accessories: Choker and Hookah, Expression: Blank, Strength: Charismatic, Weakness: proud.",fdb0a5b6-7367-48bb-bd6b-720ec8c15226,00ce8abc050882d92cb8204b5d83c9f5defbc868066f903bcb9a9567efa34ec0
88,ade-party-girl,ade party girl,the life of every party,female,"Hair: Brown, Eyes: Blue, Teeth: Gap-tooth, Clothing: One-sleeved blue top, Accessories: none, Expression: Scary, Strength: Adventurous, Weakness: Impulsive",7e3db30c-9faf-430d-ab48-b854fe0456b9,203b1d909a67765de92aa1eeef0d837e7b887a3d6187571e4d840fd4b9077dd9
89,john-casco,john casco,silent killer,female,"Hair: Black, Eyes: Blue, Teeth: None. Clothing: One-sleeved Ankara top, Accessories: Earrings & Necklace. Expression: Shocked, Strength: Unpredictable, Weakness: Loner",2eff88ef-5bc2-4779-917a-533e952e2953,24edd7aed19a8d106c34dbd00714b697a33ef07fa4f824cbcf24d41c09eabe9e
90,agha-uwa,agha uwa,"senior woman, may do back flips",female,"Hair: Brown, Eyes: Blue, Teeth:None, Clothing: Ankara top with strap and full sleeve . Accessories: Earrings & Pink, Expression: Sad, Strength: Daring, Weakness: Loner",8478a002-1eba-4a05-8b98-7170c6e39254,812b0f4945f688f532d52d1a5ef1f6e36bb96385d631c8d9ae0eba6d34e38667
91,udeme-great,udeme great,an alcoholic,female,"Hair: Purple, Eyes: Black, Teeth: None. Clothing: Ankara top with blue sleeves . Accessories: Green Necklace, Green Earrings. Expression: Clueless, Strength: Decisive, Weakness: Stubborn",d1476409-6f8b-4be9-8c93-24d9123749c5,b9175f2f5eb98b508928ed75cfb451dbce9ee182be8ec59d8fa9943daf73102f
92,femi-tech-bro,femi tech bro,"broke tech bro actually, no money",female,"Hair: Brown, Eyes: Black, Teeth: None, Clothing: Ankara top with blue suspenders, Accessories: Green Necklace, Expression: Mischievous, Strength: Creativity, Weakness: Procastination",ba3ec22a-13d5-4e19-9b7f-aac764fda28c,30f93785aee091ff36376ccee49758b9ad809d8721fbb74257a3070b37c4d4bf
93,sai-baba,sai baba,bts leader of 3rd world,female,"Hair: Brown, Eyes: Black, Teeth: None, Clothing: Off shoulder Ankara top, Accessories: Earrings and Necklace, Expression: Anxious, Strength: Trend Spotter, Weakness: Distracted easily",fdfff369-5b57-4612-9f89-f5d408f24a35,6cf2e77e5a8694e725c3c872f78cac19ffea863c18c70b461a5fe9156597789e
94,omo-pastor,omo pastor,a woman with the morals of a man,female,"Hair: Brown, Eyes: Black, Teeth: None, Clothing: Spaghetti strap Ankara top, Accessories: Green Earrings and Green Necklace, Expression: Happy, Strength: Happiness, Weakness: Too emotional",49e09559-61a6-41ff-811a-272721a7475c,b2b2deed1570b87acaec370622237f69598bdb10abb5f7bac3aaa2743e2aa6c0
95,obi-container,obi container,a rich woman from the east,female,"Hair: Brown, Eyes: Black, Teeth: None, Clothing: Animal Print Top, Accessories: Green Necklace, Expression: Suprised, Strength: Wealthy, Weakness: Risk taker",4b64cf48-94fa-4aed-8cf2-452974b48ee3,69161ba5f897766f8ccbf5b0c0fa8d9d60b77713a4d29d4dd57ba56054b2721d
96,erigga-international,erigga international,Super star from south-south,female,"Hair: Brown, Eyes: Black, Teeth: None, Clothing: Half Ankara, Accessories: Green Necklace & red scrunchie, Expression: Curious, Strength: Talented, Weakness: Overconfident",3ac39a5e-7b0c-4371-b0c8-7cb4b68aed2c,5aed9b8e2729fb2c65d8a6b0eacf7b40af31ace156d7a935c53831f085a882fd
97,ayo-web3-bro,ayo web3 bro,no actual knowledge of basic computer principles,female,"Hair: Brown, Eyes: Blue, Teeth: Gap Tooth, Clothing: Sleeveless Ankara top, Accessories: Green Necklace, Expression: Terrified, Strength: tolerant, Weakness: Illiterate .",c137ec2b-18cd-4c29-a194-af29ac9e6c1c,e1d112e88169c8b3b67237ca7274ddece540f315f2a6599e30032f15568e04f1
98,phoebe-queen-bee,phoebe queen bee,"a self-centered woman, only thinks about herself",female,"Hair: Brown flowing hair, Eyes: Blue, Teeth: none, Clothing: Ankara top, Accessories: None, Expression: Polka face, Strength: Attractive, Weakness: Gullible.",1277e9c0-81dc-4747-89df-a9d2ae4fcf96,1e38a3033f6e7c385ab2c1d3874d14520628dec8c893f372b871d985a779cfa1
99,rachel-warri-babe,rachel warri babe,a woman who doesn't take nonsense,female,"Hair: Red braids, Eyes: White, Teeth: None, Clothing: Yellow Danshiki, Accessories: None, Expression: Straight Face, Strength: Assertive, Weakness: talkative.",19e6af3b-ef2d-46ba-ba05-59fb612ebbee,fa162faf34ccd85f8120c68c013ad1eee94d9d2d5cf320cb06524ad3a7aea0d2
100,adun-preacher,adun preacher,a woman who preaches in buses,female,"Hair: Black short hair, Eyes: Blue, Teeth: None, Clothing: Blue paisley print blouse, Accessories: Ankara bonnet and hookah,  Expression: Blank stare, Strength: Bold, Weakness: Fake.",cc4dfedf-c343-48db-ad67-e39452ec2380,64b6d292d19c955972d0f6883adf4829ae97c676177c28fbdff589f3c1d4ea08
101,adebola-omo-oba,adebola omo oba,Adebola loves soft life with her fathers wealth,female,"Hair: brown, Eyes: opened, Teeth: white, Clothing: ankara print , Accessories:none , Expression: staring, Strength: bold, outspoken, Weakness: pride",fbf43611-f267-4cba-bf4b-a3ffdc122589,87c12594f8fe46a7aff315175a3a3e512ea436f34f7af38a0bcc83e067d104de
102,chichi-the-dancer,chichi the dancer,Chichi loves dancing and party,female,"Hair: black, Eyes: blue,opened, Teeth: none, Clothing: ankara print, Accessories: none, Expression: shocked, Strength: dancing, Weakness: lovergirl",6fa9c6e6e654f0a4fc7bae4299f8809a631b3d95c83e02a8549a9fc1c6032850
103,hammed-the-farmer,hammed the farmer,Hammed owns a farm with his family,male,"Hair: none, Eyes: opened, Teeth: none, Clothing: brown and cream buba, Accessories: nose mask, Expression: innocent, Strength: farming, Weakness: drinking",e57d8985-599e-49da-8d62-fc16b7ac93f2,71c6167680cb6ac5ff61d9b01fdf1616707635bf985263cbf1d5197de8d07960
104,farida-the-tivlady,farida the tivlady,Farada is a traditional TIv woman,female,"Hair: brown, Eyes: opened, Teeth: none, Clothing: ankara print, Accessories: lipgloss, Expression: cool, Strength: cooking, Weakness: multitasking",31d3e229-003e-43c8-ba82-38f49cf58ccb,ffe32a83018813d86d0b915c662bc0139f03631f04ee395438f999aad9d8c1a5
105,hannah-the-singer,hannah the singer,Hannah loves singing and belongs to choir,female,"Hair: blonde, Eyes: opened, Teeth: none, Clothing: flower print dress, Accessories: earrings, Expression: angry, Strength: singing, Weakness: reading",281f5bd7-5282-458b-9811-e369980e7dee,f038ac0f3c2612051e55a12d0c985c04c69dbc27dc98596e672175585ed24203
106,nonso-the-igbogirl,nonso the igbogirl,Nonso is an Igbo girl that loves money,female,"Hair: black, Eyes: opened, Teeth: none, Clothing: leopard print blouse, Accessories: none, Expression: happy, Strength: business, Weakness: spending",5cfa76df-8376-4505-af12-78af24f108d6,97946ea74f31c0c8bdbd4df965d6230afb5b882f0560c0bfaa1e1120a5b1765a
107,shade-olori,shade olori,Shade loves soft life and makeup,female,"Hair: black, Eyes: blue,opened, Teeth: none, Clothing: ankara print, Accessories: none, Expression: none, Strength: makeup, Weakness: sleeping",00b546cfc83587b5bcb2db0b9db6069d00ed7c912f2a8682c089062bdd3a7700
108,quadri-the-teacher,quadri the teacher,Quadri is a devoted teacher that teaches mathematics,male,"Hair: none, Eyes: opened, Teeth: none, Clothing: yellow on blue jean, Accessories: nose mask, Expression: none, Strength: teaching, Weakness: talking",d96a93e7-17a4-4efe-b09b-02185cc81ce8,ca6c81f59249ff2ba2b23a3c5b1f37ee62f7b7490258f5e5be2d0a8f47622c6c
109,Ifeanyi-the-dj,Ifeanyi the dj,Ifeanyi is a music dj that performs at events,male,"Hair: none, Eyes: opened, Teeth: opened, Clothing: animal print, Accessories: red cap, Expression: none, Strength: mixing songs, Weakness: none",030f665d-2cd7-4376-aef5-4030dad9f2d6,9eefbb56c31684de354c4ca2844dc9bdec82a686e997039e595ac3db4fa8b8ab
110,fayo-the-yorubademon,fayo the yorubademon,Fayo is a youruba demon that breaks hearts,male,"Hair: bald, Eyes: opened, Teeth: none, Clothing: africa print, Accessories: mask, Expression: none, Strength: determined, Weakness: steals",e270e278-a9b5-408d-b527-d518239a997b,3df87cbb5a9f2f6fa99026d0c256ed3f590978c9f20bdbe2264eb9f0910767ad
111,nkechi-the-actress,nkechi the actress,Nkechi is an internation actress that acts in hollywood,female,"Hair: purpule short hair, Eyes: opened, Teeth: none, Clothing: native print, Accessories: smoking, Expression: rugged, Strength: love, Weakness: lie",34b1136d-00b1-4f29-8a03-5b02291d47d5,bf768bb8ecdfccc933487800234823efd9e11cfb3b8105c34d9fb51936608437
112,hamzat-the-mallam,hamzat the mallam,Hamsat is a mallam that changes money,male,"Hair: bald, Eyes: opened, Teeth: none, Clothing: wrapper, Accessories: none, Expression: straight, Strength: traditional, Weakness: diabolic",592eff9f-93b2-4452-a2ed-5d44ebc969db,351ecb858299c32ee842e4295f65b2d1a8ba85e4f3ef210691eb7fb775e8932e
113,nnena-pretty-girl,nnena pretty girl,Nnena is beautiful girl that loves to talk about her beauty,female,"Hair: brown bob marley, Eyes: open, Teeth: covered, Clothing: african print, Accessories: sucker, Expression: none, Strength: giver, Weakness: possesive",d9477612-ad63-408e-8d12-24679c647b32,7085c76ddbef7a441b5e7b99af0691a658f4904821713fd25d632df422e60ab5
114,tunde-the-boss,tunde the boss,Tunde is a boss that orders her helps around,male,"Hair: capped, Eyes: opened, Teeth: white, Clothing: native cloth, Accessories: none, Expression: none, Strength: cooks well, Weakness: bossy",7635c4ee-04f6-4872-bfc9-37e5a73c8fc6,43a14c789cf11f4bf863253c8b78c7a6669b60301ae56e1538dec291d6538c30
115,nnamdi-the-barber,nnamdi the barber,Nnamdi is a baber that does celebrity haircuts,male,"Hair: brown afro, Eyes: open, Teeth: smokey, Clothing: africa print, Accessories: none, Expression: none, Strength: determined, Weakness: loves clubbing",152758f3-9414-45a2-a809-95cb05a3de13,fe82b2a1254d626d6a422a9c5676019867cea697f44a05ef3b316a7894617994
116,amaka-the-hypepriestess,amaka the hypepriestess,Amaka is a very hyper that she hypes in the clubs,female,"Hair: black hair, Eyes: opened, Teeth: open teeth, Clothing: africa print, Accessories: none, Expression: laughing, Strength: independent, Weakness: insultive",c7726e84-3c5c-4e66-8677-cbfb5c9ee850,922841569719b03000dea42ab6f25eb1fdde5684e04b284337dce54034246398
117,kemi-foodie,kemi foodie,Kemi loves food but cannot cook,female,"Hair: black har with scarf, Eyes: partly opened, Teeth: none, Clothing: one hand style, Accessories: none, Expression: none, Strength: can cook very well, Weakness: dirtiness",3116cb6f-14c4-4d5a-af57-54253b72a309,f1e063e3646c083acf63cba8ee1afd5ed8415496f0f47761ad77d4d57ab595c1
118,ada-the-fashionister,ada the fashionister,Ada loves fashion that she rarely repeats cloths,female,"Hair: brown afro, Eyes: glasses, Teeth: white, Clothing: africa print, Accessories: none, Expression: smiling, Strength: successful, Weakness: too serious",a14df1c1-7a5a-4a33-8780-0fb01c593da6,2ba6cf180f35a682f72cee1f6355272e9bc879c0ec701b94c59c3baa22f51ea8
119,kayode-the-baller,kayode the baller,Kayode loves life and lives it,male,"Hair: bald, Eyes: wide opened, Teeth: none, Clothing: yellow on jeans, Accessories: none, Expression: none, Strength: swaggy, Weakness: loves women",fe17bfdc-c251-4654-8313-1ab793e11748,57c407551bc94cb9ff24234e5a4aed99bccf22bbe6867965396e27d312d6178f
120,kola-of-lagos,kola of lagos,Kola is the life of the party everywhere he is,male,"Hair: bald, Eyes: opened, Teeth: none, Clothing: native, Accessories: none, Expression: none, Strength: intelligent, Weakness: shy",df295be1-1509-406e-a263-28a5dee0abca,678cde659f5a029fcec91ed7df693df0e3c5df898455d89dc7ef50563022be81
121,azikiwe-popular-trader,azikiwe popular trader,Azikiwe is a popular trader,Male,"hair:none ,eyes: blue,teeth:none, clothings: purple and yellow, accessories:cap, expression:happy, strength:Strong  ",34c45b5894eedcf371cd01832aaf6b15df8c20ac9e9d8d234c6d365f97c18246
122,obasanjo-funny-guy,obasanjo funny guy,Obasanjo is so hilarious ,Male,"hair:none ,eyes: black,teeth:small open teeth, clothings: sleeveless yellow ankara, accessories:none, expression: serious face, strength:mild  ",d25940a8ee27b12a323b8bddb792e2849a4734ab4998edc0304dc57cc81549c4
123,yakubu-village-chief,yakubu village chief,Yakubu is the village chieftain,Male,"hair:none ,eyes: blue,teeth:open white teeth, clothings: black isiagu, accessories:cap, expression:happy, strength:Strong  ",06aa2bf63bf9a51040218ff56f7d832ce3e6912bd67bde455131986bb89dbb7f
124,abacha-loves-smoking,abacha loves smoking,Abacha loves taking pipe,Male,"hair:cute braided hair ,eyes: black ball white eye, teeth:none, clothings: mixed colors ankara wear, accessories:none, expression:happy, strength:Strong",8ac6d95f-0cf3-4f54-9cf2-be8834b3004c,865366c69f1df0c991a6afc14e500acd49d0f244c21781884f078b90893b1a99
125,johnathan-good-leader,johnathan good leader,A very progressive young man with positivity ,Male,"hair:punk bearded man ,eyes: closed, teeth:none, clothings: white shirt and senator, accessories:cap, expression:bone face, strength:Strong  ",241e3713-4ce3-48d0-827f-b282ae2db6c4,bcc9ced3004ac2a7b547ad95e01fce9e4a842c126cd470ebb3a8e876c1e4f447
126,johnathan-genz-kid,johnathan genz kid,"A child of the moment , all fun and cruise ",Male,"hair:none ,eyes: blue,teeth: white, clothings: yellow ankara wear, accessories: traditional cap, expression:happy, strength:Strong  ",1abeceaa1e1a83914b65233163ffab6ed19dabbd94fc2c85c7dc63211d5e21f7
127,eddy-the-community,eddy the community,Man of the people ,Male,"hair:none ,eyes: blue, teeth:none, clothings: black isiagu wear, accessories: cap, expression: happy, strength: Strong ",5cabf9d9-882b-459e-9253-8c07eb045e2d,3d008fc765af89766287cf3cb8cd1f1ca523a1950c289e8d10e6e510198b7f3f
128,olu-the-oba,olu the oba,The oba of Ofuk kingdom ,Male,"hair: purple braided hair ,eyes: black, teeth: none, clothings: mixed color traditional wear, accessories: none, expression: serious face, strength:mild  ",04c4b28a-aca0-44b1-a064-ed0d9d2a31ca,da70d04e4631b0713cfde39552c6a27eda03c9b7bb5873b18cf81ae9e9dfcbca
129,edu-the-biggest-trader,edu the biggest trader,The biggest merchant in west coast ,Male,"hair:none ,eyes: blue, teeth:closed, clothings: black and yellow collar native wear, accessories:cap, expression:happy, strength:Strong  ",48d1de5f-5f3f-46aa-b2fd-68420a8e802b,35b86d6039403dfdb68b910dff3e6273c49ebfe7b34384c75d3a4ba51fb2a343
130,james-importer-and-exporter,james importer and exporter,Sole importer and exporter of spare parts in Africa ,Male,"hair:none ,eyes: blue,teeth:none, clothings: purple and yellow, accessories:cap, expression:happy, strength:Strong  ",2b30f91b65166f808e352c2dc00ca6b476b8b115767b962f770329b641b64a9a
131,lanre-the-dreaded-guy,lanre the dreaded guy,The wayward tout,Male,"hair: none ,eyes: none, teeth:white, clothings: ankara, accessories:cap, expression: happy, strength:Strong  ",66a054cd-5541-4000-98aa-8f2e9892d880,6f0bd8c3806f28d6a2712bd93b315d4e6395b6a01cc9600fb8807a185f945831
132,olamide-the-street-boy,olamide the street boy,Friendly street gang,Male,"hair:none ,eyes: white, teeth: none, clothings: green and blue, accessories: cap, expression: serious face, strength:Strong  ",d50a35b1-b42e-4e0c-8dd8-9b892b56d371,9fe7c9e22ba2e7bc2863d4289ea034a704035263e74f411a13cf09a1617e0c0a
133,uche-peace-loving-man,uche peace loving man,A man of peace and discipline ,Male,"hair: yellow ,eyes: blue,teeth:none, clothings: yellow, accessories:none, expression:happy, strength:Strong  ",8f9bd87816f15d8f9bef0d004ff696957af2777d475f24f1695c0e74e6d83708
134,dave-the-tech-bro,dave the tech bro,Dave the web3 geng,Male,"hair: none ,eyes: none, teeth:white, clothings: none, accessories:cap, expression: serious face, strength:Strong  ",c0857b11-bf0e-46a4-9108-b8eb93d83e74,68d1030d3ea79ccf31515195c075a31fc67529e40ffe14a761384a83047cd5c4
135,obi-the-biggest-humanitarian,obi the biggest humanitarian,The biggest helper during the pandemic ,Male,"hair:none ,eyes: blue, teeth:white, clothings: brown, accessories:cap, expression:happy, strength: Strong  ",201a408c-7a2e-42d9-a62c-0136c885c211,20d6689d25f78cd0d8bfa42b6e8247940d983832dc3a25056d8354698e744901
136,precious-the-emotional-girl,precious the emotional girl,Soft hearted and sensitive precious ,Female,"hair:none ,eyes: white, teeth: white, clothings: yellow and blue, accessories:cap, expression:angry, strength:Strong ",b6a41ff1-51ce-42f7-9933-85d0a22ced68,865aaef16737df9725dd98aa7ee0001593f10ce7a663d1f43cf63ae756c475b6
137,ella-serious-minded,ella serious minded,Ella a dedicated young lady ,Female,"hair: none ,eyes: white,teeth: white, clothings: black and yellow, accessories:cap, expression:happy, strength:Strong  ",3866c54f27fec6102cd4d75c77c4aea31c6ba3f32a2a3e1d5207c24397071bad
138,cynthia-cute-eyes,cynthia cute eyes,Cynthia with a priceless cute eyes,Female,"hair:yellow ,eyes: blue,teeth:none, clothings: blue and yellow, accessories: none, expression: serious face, strength: mild ",cad68d51c058863ec20e6131749deccf120d6171c896e312d04e7e56495da519
139,mary-with-hair,mary with hair,Mary with her beautiful Afro ,Female,"hair: none,eyes: none,teeth:none, clothings: casual ankara, accessories:cap, expression:scared, strength:sensitive, weakness: fearful",efdf684c749acaf208dd9950cc398f25ef66c8f408c5faa97d77d8736a000c03
140,ada-chewing-bubble-gum,ada chewing bubble gum,Ada always chewing gum,Female,"hair: none,eyes: none,teeth: white, clothings: traditional wear, accessories:cap, expression:sassy, strength:decisive, weakness: insensitive",7aecdfd826d8010686b25a7aea6bea7b61c878d1e81bf7e4a7d45dd18ca5a3eb
141,viganem-the-drummer-girl,viganem the drummer girl,she loves jumping a fence to play drums after school,female,Hair: none. Eyes: none. Teeth: none . Clothing:Ankara with drum patterns . Accessories: none. Expression: Sumg . Strength: none. Weakness:none .,5a5a6f5c-39f3-4beb-ab74-60d3c7a90fd4,38e61acd7969cb4e819efb7b2a9efd1320d37b20a8390cb70715cb4fc4c57e16
142,lenusuka-the- big-woman,lenusuka the big woman,The lady that loves spending money and buying everybody asaobi,female,Hair:purple . Eyes: none. Teeth:none . Clothing: black and blue ankara. Accessories:none . Expression: Serious. Strength:none . Weakness:none .,e564a43a-ef77-487d-a88e-749d20a09fd8,184adb41d1330ae918cb13aea01a53d7a705baf855d492f58ac58b64d1b39f1f
143,enepua-the-clout-queen,enepua the clout queen,The lady that travels all day and enjoys snapping food at restaurants,female,Hair: purple. Eyes:none . Teeth:none . Clothing: black ankara with yellow and blue gear pattern. Accessories: none. Expression: Chill. Strength:none . Weakness:none .,6dc7e452-0626-4f4c-a28c-f5db3532e305,7e8719ddfd8f962ef2197e40eead9367d19c994bee831d6b3e198c313d1254e7
144,usifong-queen-of-mushin,usifong queen of mushin,Changes her hair every 2 weeks and cannot finish one pure water,female,"Hair: brown afro. Eyes: none. Teeth:none . Clothing: black ankara with yellow, peach, and blue gear pattern. Accessories: . Expression: Unbothered. Strength: . Weakness: .",221263d0-8775-49f8-bbf8-4b08b49e1482,3bdc9e7393e773a9f09664d76e96edff8290c181913933b76e83b01d47cb0efc
145,akinyim-the-agbaya,akinyim the agbaya,Always playing with small childrens and mostly small girls,female,Hair: burgundy dreadlocks. Eyes: none. Teeth:none . Clothing: Kente blouse with asymmetric neckline. Accessories:none . Expression: Off-standish. Strength: none. Weakness:none .,c1070dce-48a1-4ae8-b9a4-d070859a8377,c756b89aa2fe62e93d9f9c3a10f7cf058c5c8a1cc5a654ae6718d68f9bf82fc6
146,zawadi-mr-sleep-everywhere,zawadi mr sleep everywhere,Likes sleeping in the weirdest places especially in clubs,male,Hair: brown. Eyes:none . Teeth: none. Clothing: Kente agbada. Accessories: none. Expression: Goofy. Strength: none. Weakness: none.,c22489fe-574b-47f3-9667-c9c798b2d4df,c2ecd3e2ae53e625c80d00cc9f2aee340c2472b6ea0faf4eca80c3ee65699733
147,chepkirui-mr-self-love,chepkirui mr self love,Likes taking care of himself and spending on himself,male,Hair: burgundy fila cap. Eyes: none. Teeth: none. Clothing: black and kente patterned agbada. Accessories:none . Expression: Sleepy. Strength:none . Weakness:none .,1a91e778-d214-476b-a667-94e9ecb8b5ce,5efa9566860e529a4f8ff6fafbe592fb5d245714f9bf2494d65f8b3111cdda4a
148,naserian-mr-fear-fear,naserian mr fear fear,Has never slept with anyone and can not kill cockroach,male,Hair: face cap turned to the side. Eyes: none. Teeth:none . Clothing: yellow and blue ankara. Accessories: . Expression: Warm . Strength: . Weakness: .,8177cf38-8284-4eb4-b19c-04473bcb3b5e,8afc874b76fe49fb7759146714096413e8de13c654e2916d0cc3cecf899ab069
149,wawuda-the-ashawo-of-africa,wawuda the ashawo of africa,Brags about his body count and follows skirt anywhere,Male,Hair: Blue cap. Eyes: none. Teeth: none. Clothing: Green top with blue overalls. Accessories: none. Expression: Fear. Strength: none. Weakness: none.,0554bf35-f588-4009-aafc-ef875b878c29,fa52ef56154a3521a4cbe4e21ec343a670caf53aad8807459ff4c9e8e18be516
150,kerubo-the-igbo-smoker,kerubo the igbo smoker,Loves only his igbo and is happy when he finds an old blunt,male,Hair: brown. Eyes: none. Teeth: none. Clothing: brown shirt with dog pattern. Accessories:none . Expression: Smirking. Strength: none. Weakness: none.,33ba8e73-7949-4bc7-ba27-37ee1d573946,1f0abda4c82f890b8350837bd8a68696180c081d8ed93182923ef81bdcf8f26b
151,rehema-the- olodo,rehema the olodo,Failed primary 5 eight times and like playing football after school,male,Hair: teal cap with black and white stripes. Eyes: none. Teeth: none. Clothing: purple shirt with yellow accent. Accessories:none . Expression: Euphoric. Strength:none . Weakness:none .,1fb33783-4898-48cf-8a73-f81afc71e1a8,7c8c4c22457fbcb63ca48c4a02e90c7cda0560d3168a372ff7061a107439a113
152,nekesa-the-brainbox,nekesa the brainbox,A proposed elite who cannot write a simple speech,male,"Hair: black and red hat. Eyes: none. Teeth: none. Clothing: Monostrap black Ankara with yellow, and red patterns . Accessories:none . Expression: playful. Strength:none . Weakness:none .",7ba909bd-19a1-454d-a86c-a45e85cb94a6,d3339f6a3e1c570bdbc54285434d455d64c8148cf455b07c524323c0d0154d5f
153,kiokoli-the-slowrunner,kiokoli the slowrunner,Always running in every race but never making it to the first 5,male,Hair: black and yellow cap. Eyes: none. Teeth:none . Clothing: maroon agbada with yellow accents. Accessories:none . Expression: Clueless . Strength:none . Weakness:none .,d7027b6c-ae53-4cce-b80d-67aeb7ceb1ba,c1a24e4ffaef08037f53bd29b0840dc0bb226ae6ccf7a58b4d7a2fc7b73fdf19
154,adjuani-uncle-wire-wire,adjuani uncle wire wire,Mugu money spender that loves spending on women extravagantly,male,Hair: red cap. Eyes: none. Teeth: none. Clothing: Plain and patterned Ankara shirt. Accessories: none. Expression: Anxious . Strength: none. Weakness:none .,36cd959f-d280-41f6-af76-765715c72527,a48bc5ecdb8724beed445acc062a18eaf7f2ccec291866c64de1f7d3bade8b19
155,ajobaru-a-serial-killer,ajobaru a serial killer,High end assasin who cannot survive a day without sex,male,Hair: black and yellow fila cap . Eyes: none. Teeth: none. Clothing: yelow kente shirt. Accessories: . Expression: Cheerful. Strength: . Weakness: .,9d262f55-73d7-4b95-9a82-42356dbb085c,d80cbf6e997375f202f4654b1dee77361ec1397fcd525720b7337052eec8fce8
156,effiadem-the-fireman,effiadem the fireman,A retired military general who always loves shooting at sight,Male,Hair: brown. Eyes: none. Teeth:none . Clothing: black and kente agbada. Accessories:none . Expression: High. Strength:none . Weakness:none .,a4534fe0-b5ed-41ab-af72-1f2d0ff0fc64,aba80a55c300c47b4d09aa34118c277f07a9342af573d4901fbe4f5dd436bb02
157,deladem-the-commandoo,deladem the commandoo,The nerd who has watched all war movies but cannot fight a kid,Male,Hair: burgundy cap. Eyes: none. Teeth: none. Clothing: black and kente agbada . Accessories:none . Expression: . Strength:none . Weakness: none.,88106b92-da30-46ad-a3cc-d528683b9e33,4f6923ae04489b805bf474c4bc538ca719fd48fec281bda7beb6f78c25f12ae7
158,dogbeda-the-monger,dogbeda the monger,A fisherman who pracitically live in the river,male,Hair: orange and cream cap. Eyes:none . Teeth:none . Clothing: orange and blue denim. Accessories:none . Expression: Unbothered . Strength:none . Weakness:none .,66a09968-cb92-4378-a588-49947f68c537,1e1b00b89d9c545c0fa5a2a17475f52e219d463a78130ad612d7709bd4783495
159,enyonyam-our-slay-mama,enyonyam our slay mama,Posts new pictures everyday and can snub for africa,Male,Hair: Blue cap. Eyes: none. Teeth: none. Clothing: Green top with overall. Accessories: none. Expression: . Strength:none . Weakness:none.,5e7c7f9d-d631-4759-9b27-cbaccd33d39f,a7a6936ec8186e109164bb99cb013a8264da8919a50332eeda25a941c715884e
160,lumusi-pro-technician,lumusi pro technician,The electrician well known for wiring burnt buildings,Male,Hair: Red hair. Eyes: none. Teeth:none . Clothing: White top with blue overalls . Accessories:none . Expression: High. Strength:none . Weakness: none.,b07676a6-c611-410d-8426-46c9c525189a,f714e04ca575737e35f1736fac0f49e7c0cb44f656829165c928489d11735ca3
161,funmi-the-fashionist,funmi the fashionist,funmi enjoys fashion and she always takes opportunity to showcase her wardrobe,Female,"hair: black hair, eyes: none, teeth: none, clothing: aso oke, expression: cool, accessories: head tye and eye glasses, strength: fashion, weakness:men",4f9d99a4-78a2-4fdd-bc30-b027600fa88e,54e39f10c7a863c7323ff8e0c71b1649d9734982c2afbadd9e7a60ea277fe22e
162,bola-the-funky,bola the funky,Bola is a funky fellow but she has another personality no one knows,Female,"hair: Purple shuku, eyes: none, teeth: none, clothing: adire top, expression: neutral, accessories: eye glasses, strength: caring, weakness: snake",ac721b71-cbc5-425c-851f-ee826973f0b9,dbb54bc8096895f1840cb44b8ff66064d71659e08a15171017205fdc32502cfd
